"1","0000-00-00","10 dollars each sign brazilian.jpg","10 dollars each sign","retail, clothing","1","English","0","1","0","0","0","0","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con","2016-10 dollars each sign brazilian","0","0","1"
"2","0000-00-00","10 percent military discount.jpg","10 percent military discount sidewalk sign","retail, clothing","1","English","0","0","0","0","0","0","Oahu","Kailua ","Kailua","Hekili St",,"bus ","cont","2016-10 percent military discount","0","0","1"
"3","0000-00-00","10percent discount poster.jpg","10 percent discount poster Noa Noa","retail, clothing","1","English","0","0","0","0","0","0","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con","2016-10percent discount poster","0","0","1"
"4","0000-00-00","25 percent off this rack kailua living.jpg","25 percent off this rack Kailua Living ","retail, home","1","English","0","1","0","0","21.39509444","-157.7439278","Oahu","Kailua ","Kailua","Oneawa St",,"bus","con","25 percent off this rack kailua living ","0","0","1"
"5","0000-00-00","50percent off sandkids.jpg","50 percent off Sand Kids","retail, clothing","1","English","0","0","0","0","0","0","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con","sandkids 50percent off","0","0","1"
"7","0000-00-00","A cup of tea victorian.jpg","A Cup of Tea ","restaurant","1","English","0","0","0","0","21.39653889","-157.7433611","Oahu","Kailua ","Kailua","Uluniu St",,"bus","con","shop name A cup of tea victorian victoria cafe","0","0","1"
"8","0000-00-00","A-1 barber.jpg","A-1 barber","hair/beauty","1","English","0","0","0","0","21.39533056","-157.7419444","Oahu","Kailua ","Kailua","Kuulei Rd",,"bus","cont","shop name A-1 barber","0","0","1"
"9","0000-00-00","aarons discourver scuba poster.jpg","Aaron's discover scuba poster","sports/leisure","1","English","0","0","0","0","21.39323333","-157.740525","Oahu","Kailua ","Kailua","Hahani St",,"bus","con","aarons discourver scuba poster","0","0","1"
"10","0000-00-00","aarons pacific diving academy.jpg","Aaron's Pacific Diving Academy","sports/leisure","1","English","0","0","0","0","0","0","Oahu","Kailua ","Kailua","Hahani St",,"bus","con","pacific diving academy.","0","0","1"
"11","0000-00-00","aarons.jpg","Aaron's Dive Shop","sports/leisure","1","English","0","0","0","0","21.39320278","-157.7405389","Oahu","Kailua ","Kailua","Hahani St",,"bus","con","shop name aarons","0","0","1"
"12","0000-00-00","abe drycleaners.jpg","Abe Drycleaners","service","1","English","0","0","0","0","21.39566667","-157.7416389","Oahu","Kailua ","Kailua","Kuulei Rd",,"bus","cont","abe drycleaners","0","0","1"
"13","0000-00-00","address on the wall of boots and kimos.jpg","address at Boots and Kimo's","restaurant","2","Hawaiian English","0","0","0","0","21.39216111","-157.7406167","Oahu","Kailua ","Kailua","Hahani St",,"bus","cont","address on the wall of boots and kimo's","0","0","1"
"16","0002-03-17","Agnes portuguese bake shop.jpg","Agnes' Portuguese bake shop","restaurant","1","English","0","0","0","0","0","0","Oahu","Kailua ","Kailua","Oneawa St",,"bus","cont","Agnes' portuguese bake shop","0","0","1"
"17","0000-00-00","Alcohol policy whole foods.jpg","Alcohol policy Whole foods","grocery","2","English, Japanese","0","1","0","0","0","0","Oahu","Kailua ","Kailua","Kailua Rd",,"bus","cont",,"0","0","1"
"18","0000-00-00","all sales final.jpg","All sales final Radio Shack","retail, electronics","1","English","0","0","0","0","21.39390278","-157.7413944","Oahu","Kailua ","Kailua","Kailua Rd",,"bus","con","all sales final","0","0","1"
"20","0000-00-00","aloha beach culb.jpg","Aloha Beach Club","retail, home","2","English, Hawaiian","0","0","0","0","0","0","Oahu","Kailua ","Kailua","Hekili St",,"bus","cont","shop name aloha beach culb","0","0","1"
"21","0000-00-00","Aloha duck red bamboo.jpg","Aloha Beach Club ducks","retail, home","3","English, Hawaiian, Japanese","0","1","0","0","21.39415833","-157.7420056","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con",,"0","0","1"
"22","0000-00-00","Aloha salads.jpg","Aloha Salads","restaurant","1","English","0","0","0","0","21.39395833","-157.7414861","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con","shop name aloha salads","0","0","1"
"23","0000-00-00","alohastreet teddys bigger burger.jpg","Alohastreet at Teddy's Bigger Burger","restaurant","3","Japanese, English, Hawaiian","0","1","0","0","21.39309722","-157.7406306","Oahu","Kailua ","Kailua","Hahani St",,"bus","decont","alohastreet teddy's bigger burger","0","0","1"
"25","0000-00-00","arrons dive shop window.jpg","Arron's Dive Shop window","sports/leisure","1","English","0","0","0","0","21.39314167","-157.7406167","Oahu","Kailua ","Kailua","Hahani St",,"bus","con","arrons dive shop window","0","0","1"
"26","0000-00-00","art for your sourl on the window red bamboo.jpg","art for your soul at Red Bamboo","retail, home","1","English","0","0","0","0","21.39399444","-157.7418528","Oahu","Kailua","Kailua","Kailua Rd",,"bus","con",,"0","0","1"
"28","0000-00-00","arvijo.jpg","Arvijo Building ","office/building","1","English","0","0","0","0","21.39412222","-157.7456972","Oahu","Kailua","Kailua","Kainehe St",,"bus","con","shop name arvijo ","0","0","1"
"29","0000-00-00","Asian model fighting ed.jpg","Asian model poster at Fighting Eel","retail, clothing","0",,"1","1","0","0","21.39391944","-157.7424917","Oahu","Kailua","Kailua","Kailua Rd",,,,"Asian model fighting ed","0","0","1"
"30","0000-00-00","authentic thai cusine.jpg","Authentic Thai Cusine","restaurant","1","English","0","0","0","0","21.39568333","-157.7417","Oahu","Kailua ","Kailua","Kuulei Rd",,"bus","cont","authentic thai cusine","0","0","1"
"31","0000-00-00","Auto parts.jpg","auto parts Windward Muffler","auto/gas","1","English","0","0","0","0","21.39473333","-157.7460028","Oahu","Kailua","Kailua","Kainehe St",,"bus","con","Auto parts","0","0","1"
"32","0000-00-00","bale open sign.jpg","Bale open sign","restaurant","1","English","0","0","0","0","0","0","Oahu","Kailua ","Kailua","Hekili St",,"bus","con","bale open sign","0","0","1"
"33","0000-00-00","bale.jpg","Bale","restaurant","1","English","0","0","0","0","21.392325","-157.7424611","Oahu","Kailua ","Kailua","Hekili St",,"bus","con","shop name bale","0","0","1"
