1,2017-03-25,10 dollars each sign brazilian.jpg,10 dollars each sign,"retail, clothing",1,English,0,1,0,0,0,0,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,2016-10 dollars each sign brazilian,0,0
2,2017-03-25,10 percent military discount.jpg,10 percent military discount sidewalk sign,"retail, clothing",1,English,0,0,0,0,0,0,Oahu,Kailua ,Kailua,Hekili St,,bus ,cont,2016-10 percent military discount,0,0
3,2017-03-27,10percent discount poster.jpg,10 percent discount poster Noa Noa,"retail, clothing",1,English,0,0,0,0,0,0,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,2016-10percent discount poster,0,0
4,2017-03-27,25 percent off this rack kailua living.jpg,25 percent off this rack Kailua Living ,"retail, home",1,English,0,1,0,0,21.395094444444442,-157.74392777777777,Oahu,Kailua ,Kailua,Oneawa St,,bus,con,25 percent off this rack kailua living ,0,0
5,2017-03-25,50percent off sandkid.jpg,50 percent off Sand Kids,"retail, clothing",1,English,0,0,0,0,0,0,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,sandkids 50percent off,0,0
7,2017-03-27,A cup of tea victorian.jpg,A Cup of Tea ,restaurant,1,English,0,0,0,0,21.396538888888887,-157.74336111111108,Oahu,Kailua ,Kailua,Uluniu St,,bus,con,shop name A cup of tea victorian victoria cafe,0,0
8,2017-03-27,A-1 barber.jpg,A-1 barber,hair/beauty,1,English,0,0,0,0,21.395330555555557,-157.74194444444444,Oahu,Kailua ,Kailua,Kuulei Rd,,bus,cont,shop name A-1 barber,0,0
9,2017-03-25,aarons discourver scuba poster.jpg,Aaron's discover scuba poster,sports/leisure,1,English,0,0,0,0,21.39323333333333,-157.740525,Oahu,Kailua ,Kailua,Hahani St,,bus,con,aarons discourver scuba poster,0,0
10,2017-03-25,aarons pacific diving academy.jpg,Aaron's Pacific Diving Academy,sports/leisure,1,English,0,0,0,0,0,0,Oahu,Kailua ,Kailua,Hahani St,,bus,con,pacific diving academy.,0,0
11,2017-03-25,aarons.jpg,Aaron's Dive Shop,sports/leisure,1,English,0,0,0,0,21.393202777777777,-157.74053888888886,Oahu,Kailua ,Kailua,Hahani St,,bus,con,shop name aarons,0,0
12,2017-03-27,abe drycleaners.jpg,Abe Drycleaners,service,1,English,0,0,0,0,21.395666666666667,-157.74163888888887,Oahu,Kailua ,Kailua,Kuulei Rd,,bus,cont,abe drycleaners,0,0
13,2017-03-25,address on the wall of boots and kimos.jpg,address at Boots and Kimo's,restaurant,2,Hawaiian English,0,0,0,0,21.39216111111111,-157.74061666666665,Oahu,Kailua ,Kailua,Hahani St,,bus,cont,address on the wall of boots and kimo's,0,0
14,2017-02-03,Agnes door sticker.jpg,Agnes' Bake Shop door sticker,restaurant,3,"English, Japanese, Hawaiian",0,0,0,0,0,0,Oahu,Kailua ,Kailua,Oneawa St,,bus,con,Agne's door sticker,0,0
15,2017-02-03,Agnes super bowl.jpg,Agnes' Bake Shop super bowl,restaurant,1,English,0,0,0,0,0,0,Oahu,Kailua ,Kailua,Oneawa St,,bus,con,Agne's super bowl,0,0
16,2017-02-03,Agnes portuguese bake shop.jpg,Agnes' Portuguese bake shop,restaurant,1,English,0,0,0,0,0,0,Oahu,Kailua ,Kailua,Oneawa St,,bus,cont,Agnes' portuguese bake shop,0,0
17,2017-03-25,Alcohol policy Whole foods.jpg,Alcohol policy Whole foods,grocery,2,"English, Japanese",0,1,0,0,0,0,Oahu,Kailua ,Kailua,Kailua Rd,,bus,cont,,0,0
18,2017-03-25,all sales final.jpg,All sales final Radio Shack,"retail, electronics",1,English,0,0,0,0,21.39390277777778,-157.74139444444444,Oahu,Kailua ,Kailua,Kailua Rd,,bus,con,all sales final,0,0
20,2017-03-25,aloha beach culb.jpg,Aloha Beach Club,"retail, home",2,"English, Hawaiian",0,0,0,0,0,0,Oahu,Kailua ,Kailua,Hekili St,,bus,cont,shop name aloha beach culb,0,0
21,2017-03-25,Aloha duck red bamboo.jpg,Aloha Beach Club ducks,"retail, home",3,"English, Hawaiian, Japanese",0,1,0,0,21.394158333333333,-157.74200555555555,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,,0,0
22,2017-03-25,Aloha salads.jpg,Aloha Salads,restaurant,1,English,0,0,0,0,21.393958333333334,-157.7414861111111,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,shop name aloha salads,0,0
23,2017-03-25,alohastreet teddys bigger burger.jpg,Alohastreet at Teddy's Bigger Burger,restaurant,3,"Japanese, English, Hawaiian",0,1,0,0,21.39309722222222,-157.74063055555555,Oahu,Kailua ,Kailua,Hahani St,,bus,decont,alohastreet teddy's bigger burger,0,0
25,2017-03-25,arrons dive shop window.jpg,Arron's Dive Shop window,sports/leisure,1,English,0,0,0,0,21.393141666666665,-157.74061666666665,Oahu,Kailua ,Kailua,Hahani St,,bus,con,arrons dive shop window,0,0
26,2017-03-25,art for your sourl on the window red bamboo.jpg,art for your soul at Red Bamboo,"retail, home",1,English,0,0,0,0,21.393994444444445,-157.74185277777775,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,,0,0
28,2017-03-27,arvijo.jpg,Arvijo Building ,office/building,1,English,0,0,0,0,21.394122222222222,-157.74569722222222,Oahu,Kailua,Kailua,Kainehe St,,bus,con,shop name arvijo ,0,0
29,2017-03-25,Asian model fighting ed.jpg,Asian model poster at Fighting Eel,"retail, clothing",0,,1,1,0,0,21.393919444444442,-157.74249166666667,Oahu,Kailua,Kailua,Kailua Rd,,,,Asian model fighting ed,0,0
30,2017-03-27,authentic thai cusine.jpg,Authentic Thai Cusine,restaurant,1,English,0,0,0,0,21.395683333333334,-157.74169999999998,Oahu,Kailua ,Kailua,Kuulei Rd,,bus,cont,authentic thai cusine,0,0
31,2017-03-27,Auto parts.jpg,auto parts Windward Muffler,auto/gas,1,English,0,0,0,0,21.39473333333333,-157.74600277777776,Oahu,Kailua,Kailua,Kainehe St,,bus,con,Auto parts,0,0
32,2017-03-25,bale open sign.jpg,Bale open sign,restaurant,1,English,0,0,0,0,0,0,Oahu,Kailua ,Kailua,Hekili St,,bus,con,bale open sign,0,0
33,2017-03-25,bale.jpg,Bale,restaurant,1,English,0,0,0,0,21.392325,-157.7424611111111,Oahu,Kailua ,Kailua,Hekili St,,bus,con,shop name bale,0,0
34,2017-03-27,bamboo Hawaii.jpg,Bamboo Hawai‘i garage,"retail, clothing",1,English,0,0,0,0,0,0,Oahu,Kailua,Kailua,Uluniu St,,bus,con,shop name bamboo Hawaii,0,0
35,2017-03-25,Bank of Hawai.jpg,Bank of Hawai‘i  ,banking/finance,1,English,0,0,0,0,0,0,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,shop name bank of Hawaii,0,0
36,2017-03-25,Bank of Hawaii ATM.jpg,Bank of Hawaii ATM,banking/finance,1,English,0,0,0,0,21.394302777777778,-157.74294999999998,Oahu,Kailua,Kailua,Kailua Rd,,bus,con,ATM,0,0
37,2016-10-28,Barber shop no Jp.jpg,Mike's Barber shop ,hair/beauty,1,English,0,0,0,0,21.392916666666665,-157.7403861111111,Oahu,Kailua,Kailua,Hahani Rd,,bus,cont,special military haircut,0,0
